12.06.2017;18:23:45
Currency;We buy in cash;We sell in cash;We sell;We buy;European Central Bank rate
AED;0,00000;0,00000;4,23850;3,99450;4,10271
AUD;0,00000;0,00000;1,51550;1,45650;1,48750
BGN;0,00000;0,00000;1,99500;1,91700;1,95580
CAD;0,00000;0,00000;1,53650;1,47600;1,50780
CHF;0,00000;0,00000;1,10650;1,06300;1,08570
CNY;0,00000;0,00000;7,84200;7,39150;7,62840
CZK;26,98450;25,19090;26,85350;25,55950;26,19800
DKK;7,62200;7,25400;7,58500;7,29000;7,43670
GBP;0,90300;0,86350;0,90150;0,86900;0,88545
HKD;0,00000;0,00000;8,99900;8,48200;8,75100
HRK;0,00000;0,00000;7,63100;7,19250;7,41150
HUF;0,00000;0,00000;315,14140;299,95605;307,18000
JPY;0,00000;0,00000;125,49570;120,62250;123,30000
NOK;9,73450;9,26500;9,65850;9,33800;9,49850
PLN;4,31800;4,03050;4,29700;4,08950;4,18990
RON;0,00000;0,00000;4,69900;4,42900;4,56200
RUB;65,80150;61,42780;65,35440;62,44860;63,95850
SEK;10,03750;9,55350;9,95950;9,62850;9,78030
SGD;0,00000;0,00000;1,59750;1,50550;1,55310
TRY;0,00000;0,00000;4,06750;3,83350;3,94590
USD;1,14850;1,09250;1,13950;1,10150;1,12210
